%	Clasificador de Trabajos Especiales de Grado
%
%	Mineria de Datos Sem II 
%
%	De Freitas, De Tejada, Vergara
%
@relation ClasificadorTEG
@ATTRIBUTE Titulo string
@ATTRIBUTE Resumen string
@ATTRIBUTE Palabras_Clave string
@ATTRIBUTE Mencion {'APLICACIONES EN INTERNET', 'BASES DE DATOS', 'CALCULO CIENTIFICO', 'COMPUTACION GRAFICA', 'INGENIERIA DE SOFTWARE', 'INTELIGENCIA ARTIFICIAL', 'MODELOS Y PROGRAMACION MATEMATICA', 'REDES DE COMPUTADORAS', 'SISTEMAS DE INFORMACION', 'SISTEMAS DISTRIBUIDOS Y PARALELOS', 'TECNOLOGIAS EDUCATIVAS'}
@DATA
'DESARROLLO DE UNA HERRAMIENTA PARA EL MONITOREO DE EVENTOS Y ACTIVIDADES DE USUARIOS EN APLICACIONES WEB', 'LA FINALIDAD DEL PRESENTE CONSISTE EN EL DESARROLLO DE UNA HERRAMIENTA CON LA CAPACIDAD DE REALIZAR EL MONITOREO DE EVENTOS Y ACCIONES DE USUARIOS, DURANTE SU INTERACCION CON APLICACIONES Y SITIOS WEB, Y GENERAR INFORMACION QUE PUEDA SER UTILIZADA POSTERIORMENTE, CON MULTIPLES PROPOSITOS PARA ELLO, SE APLICO UNA ADAPTACION DEL MODELO DE DESARROLLO EN CASCADA, BAJO UNA METODOLOGIA AD HOC, LA CUAL SE REALIZO EN CINCO FASES DESCRIPCION DE REQUERIMIENTOS, ANALISIS, DISENO, IMPLEMENTACION Y, FINALMENTE, LA FASE DE PRUEBAS DE LA HERRAMIENTA DESARROLLADA COMO RESULTADO FINAL SE OBTUVO UNA HERRAMIENTA DE FACIL INTEGRACION, CON LA CAPACIDAD DE REALIZAR EL PROCESO DE GRABACION DE EVENTOS Y ACCIONES RELEVANTES DE LOS USUARIOS, LLEVAR A CABO REPRODUCCIONES AUTOMATICAS DE DICHAS GRABACIONES Y GENERAR REPORTES CON INFORMACION DE UTILIDAD ACERCA DE LAS ACTIVIDADES REGISTRADAS POR LOS USUARIOS DE CUALQUIER APLICACION WEB', 'MONITOREO DE USUARIOS, REPRODUCCION AUTOMATICA, EVENTOS, GRABACION, JAVASCRIPT, PAGE TAGGING, DOCUMENT OBJECT MODEL DOM','APLICACIONES EN INTERNET'
'IMPLEMENTACION DEL PROTOCOLO SECURE NEIGHBOR DISCOVERY SEND', 'EL PROTOCOLO IPV6 DEFINE LA INTERACCION ENTRE LOS NODOS QUE RESIDEN EN UN MISMO ENLACE A TRAVES DEL PROCESO DE DESCUBRIMIENTO DE VECINOS NEIGHBOR DISCOVERY LOS MENSAJES INTERCAMBIADOS DURANTE ESTE DESCUBRIMIENTO INCLUYEN INFORMACION IMPORTANTE ACERCA DE LA RED Y PUEDEN DAR LUGAR A DIVERSOS ATAQUES QUE COMPROMETEN EL CORRECTO FUNCIONAMIENTO DE LOS NODOS DEL ENLACE EN ESTE SE DESARROLLO UNA APLICACION QUE PERMITE ASEGURAR LOS MENSAJES ENVIADOS POR LOS NODOS DURANTE EL PROCESO DE DESCUBRIMIENTO DE VECINOS AL UTILIZAR EL PROTOCOLO SEND ADEMAS, SE DESARROLLO UNA HERRAMIENTA QUE PERMITE GENERAR Y VERIFICAR DIRECCIONES CGA CRYPTOGRAPHICALL Y GENERATED ADDRESSESEL TRABAJO SE REALIZO EN BASE A LAS TEORIAS SOBRE LOS PROTOCOLOS Y MECANISMOS DE SEGURIDAD QUE GARANTIZAN LA PROTECCION DE LOS MENSAJES DE NEIGHBOR DISCOVERY DURANTE LA IMPLEMENTACION DE LA APLICACION, SE UTILIZO LA METODOLOGIA DE DESARROLLO DE SOFTWARE LLAMADA ENFOQUE EN CASCADA QUE CONTEMPLA LAS FASES DE ANALISIS, DESARROLLO, IMPLEMENTACION Y PRUEBAS NECESARIAS PARA COMPROBAR EL FUNCIONAMIENTODE LA APLICACION SEND DESARROLLADA ES DE HACER NOTAR QUE EL ALCANCE DE ESTA IMPLEMENTACION DE SEND SOLO ABARCO EL INTERCAMBIO DE MENSAJES ENTRE LOS HOSTS DEL ENLACE, ES DECIR QUE NO INVOLUCRA EL DESCUBRIMIENTO DE LOS ROUTERS QUE PUEDAN ESTAR PRESENTES SIN EMBARGO, PODRA SERVIR COMO REFERENTE TEORICO A FUTUROS TRABAJOS EN EL AREA, EN LA CUAL PUEDAN INCLUIR EL PROCESO DE ROUTER DISCOVERY Y OTRAS FUNCIONALIDADES QUE VAYAN SURGIENDO COMO PRODUCTO FINAL SE INCLUYERON EL CODIGO FUENTE, LA DOCUMENTACION DE LA APLICACION Y EL MANUAL DE USUARIO, NECESARIOS PARA COMPRENDER EL CORRECTO FUNCIONAMIENTO DE LA APLICACION SEND, ASI COMO UN VIRTUAL APPLIANCE QUE FACILITA LA EJECUCION DE PRUEBAS PARA UN POSTERIOR ANALISIS', 'IPV6, NEIGHBOR DISCOVERY, CRIPTOGRAFIA, FIRMA DIGITAL, SEGURIDAD, CGA', 'REDES DE COMPUTADORAS'
'TECNOLOGIAS EDUCATIVAS PARA LA PLANIFICACION DE PROYECTOS', 'ESTE CONTEMPLA EL DESARROLLO DE UN TECNOLOGIAS EDUCATIVAS PARA LA PLANIFICACION DE PROYECTOS SIGUIENDO EL ESTANDAR DE LA GUIA DEL PMBOK PROJECTMANAGEMET BODY OF KNOWLEDGE, GUIA DE FUNDAMENTOS DE LA DIRECCION DE PROYECTOS PARA LLEVAR A CABO ESTE DESARROLLO SE UTILIZO EL METODO DE INVESTIGACION DE PROYECTO FACTIBLE, EL CUAL, EN UNA DE SUS ETAPAS, PERMITE ANALIZAR Y SELECCIONAR LAS HERRAMIENTAS QUE SE ENCUENTRAN EN EL AREA DE CONOCIMIENTO DE ALCANCE DE LA GUIA DEL PMBOK EL METODO DEDESARROLLO UTILIZADO CONSISTE EN ENTREGA POR ETAPAS, EL CUAL FACILITA EL ANALISIS, DISENO E IMPLEMENTACION DEL SISTEMA PROPUESTO SE PROPUSO UN METODO DE PROGRAMACION QUE CONSISTE EN UN ESTANDAR PARA ORGANIZAR LA ESTRUCTURA DEL CODIGO DEL SISTEMA SE ANALIZAN LAS HERRAMIENTAS Y TECNICAS CORRESPONDIENTES AL AREA DE ALCANCE PARA SELECCIONAR AQUELLAS QUE SE IMPLEMENTARAN EN EL SISTEMA MENCIONADO UNA VEZ SELECCIONADAS SE LLEVA A CABO LA IMPLEMENTACION DE LAS MISMAS Y LAS PRUEBAS NECESARIAS PARA COMPROBAR SU CORRECTO FUNCIONAMIENTO', 'PMBOK PROJECT MANAGEMET BODY OF KNOWLEDGE, GUIA DE FUNDAMENTOS DE LA DIRECCION DE PROYECTOS', 'BASES DE DATOS'
'SOPORTE DIDACTICO PARA LA ENSENANZA DEL USO DEL NAVEGADOR Y EL CORREO ELECTRONICO', 'EL OBJETIVO GENERAL DEL FUE DISENAR Y DESARROLLAR UN SOPORTE DIDACTICO PARA LA ENSENANZA DEL USO DEL NAVEGADOR Y EL CORREO ELECTRONICO NAVECO, QUE PERMITIERA DE UNA MANERA SENCILLA Y DINAMICA LOGRAR QUE USUARIOS CON POCOS CONOCIMIENTOS DE COMPUTACION APRENDAN LA UTILIZACION DE ESTAS HERRAMIENTAS INFORMATICAS NAVECO EN UN PRINCIPIO SURGE COMO UN PROYECTO CUYO DOMINIO DE APLICACION ES ENSENAR EL USO DEL NAVEGADOR SIN EMBARGO, SE PUDO AGREGAR EL TEMA DEL CORREO ELECTRONICO, SIENDO ASI UNA APLICACION QUE IMPARTA CONOCIMIENTOS DE DOS TEMAS IMPORTANTES PARA USUARIOS NO EXPERTOS EN EL USO DE LAS TECNOLOGIAS INTERNET PARA LA IMPLANTACION DE NAVECO, SE UTILIZO EL LENGUAJE DE PROGRAMACION VISUAL BASIC 6 PARA LA ELABORACION DE SISTEMAS STANDALONE INDEPENDIENTES, AUTONOMOS Y ELABORACION DE INSTALADORES WIZARDS DE INSTALACION TAMBIEN SE UTILIZO MACROMEDIA FLASH MX 2004 PARA LA CREACION DE ANIMACIONES EN GENERAL, LA CONJUNCION DE HERRAMIENTAS DE SOFTWARE PERMITIO DESARROLLAR UN SOPORTE DIDACTICO CON UN ALTO GRADO DE INTERACTIVIDAD, PERMITIENDO AL USUARIO HACER PETICIONES Y QUE ESTAS SEAN RESPONDIDAS MEDIANTE INTERFACES AMIGABLES Y DEFACIL USO SE INCORPORO AL CICLO DE DESARROLLO DE SOFTWARE LA DEFINICION DE PATRONES DE INTERACCION CON EL FIN DE OBTENER SOLUCIONES EN EL DISENO DE LAS INTERFACES DE USUARIO DE NAVECO ESTO CONSTITUYE UN VALIOSO APORTE PARA OTROS DESARROLLADORES QUE PUDIERAN ENCONTRARSE EN LA NECESIDAD DE RESOLVER PROBLEMAS SIMILARES LA SOLUCION QUE PROVEE NAVECO PRESENTA CIERTAS LIMITACIONES EN CUANTO LA LECCION PRACTICA DEL CORREO ELECTRONICO, YA QUE ACTUALMENTE EL SOPORTE PARA ESTA LECCION ES UN ENLACE VIA WEB A UN PROVEEDOR DE CUENTAS DE CORREO ELECTRONICO POR LO TANTO, SE PODRIA PENSAR EN INCORPORAR UNA SOLUCION SIMILAR A LA LECCION PRACTICA DEL NAVEGADOR, SIMULANDO EN UNA VERSION UN POCO MAS BASICA, UNA INTERFAZ CON FUNCIONALIDADES PROPIAS DEL CORREO ELECTRONICO, DEJANDOSE ESTA COMO POSIBLE RECOMENDACION PARA ACTUALIZACIONES FUTURAS DELSOPORTE DIDACTICO', 'SOPORTE DIDACTICO PARA LA ENSENANZA DEL USO DEL NAVEGADOR Y EL CORREO ELECTRONICO NAVECO', 'TECNOLOGIAS EDUCATIVAS'
'SISTEMA DE AUTENTICACION SIGILOSA CON TERMINAL DE ADMINISTRACION', 'EL PROPOSITO DE ESTE TRABAJO ES IMPLEMENTAR UN SISTEMA DE AUTENTICACION SIGILOSA BASANDOSE EN LA PREMISA DE SEGURIDAD EN PROFUNDIDAD TAMBIEN CONOCIDACOMO SEGURIDAD EN CAPAS DICHA SOLUCION SE BASARA EN AGREGAR UNA CAPA DE AUTENTICACION SIGILOSA A LOS ESQUEMAS EXISTENTES, YA QUE DE ESTA MANERA SE PUEDE REDUCIR DRASTICAMENTE LOS RIESGOS A LOS CUALES ESTAN EXPUESTOS LOS SERVIDORES', 'SEGURIDAD, CAPAS', 'REDES DE COMPUTADORAS', 
'DESARROLLO DE UNA HERRAMIENTA PARA LA INTERPRETACION SIMBOLICA DE MAQUINAS DE SOPORTE VECTORIAL ENTRENADAS', 'LAS MAQUINAS DE SOPORTE VECTORIAL SVM SON SISTEMAS DE APRENDIZAJE DISENADAS SOBRE LA TEORIA DEL APRENDIZAJE ESTADISTICO VAPNIK, 1998, LAS CUALES HAN DEMOSTRADO POSEER UNA BUENA CAPACIDAD DE GENERALIZACION SOBRE DATOS REALES SIN EMBARGO, ELLAS GENERAN MODELOS CAJA NEGRA, ES DECIR, EL CONOCIMIENTO QUE ADQUIEREN DURANTE EL APRENDIZAJE ES DIFICIL DE INTERPRETAR DESDE EL PUNTO DE VISTA DEL USUARIO EN ESTE TRABAJO SE PRESENTA UNA HERRAMIENTA PARA LA INTERPRETACION SIMBOLICA DE MAQUINAS DE SOPORTE VECTORIAL ENTRENADAS BASADA EN AL ALGORITMO TREPAN, EL CUAL PERMITE LA EXTRACCION DE ARBOLES DE DECISION A PARTIR DE ESTAS MAQUINAS DE APRENDIZAJE LAS PRUEBAS REALIZADAS MUESTRAN QUE LOS ARBOLES DE DECISION GENERADOS POR LA HERRAMIENTA, POSEEN UN ALTO GRADO DE FIDELIDAD CON EL MODELO APRENDIDO POR LA MAQUINA DE SOPORTE VECTORIAL', 'MAQUINAS DE SOPORTE VECTORIAL, EXTRACCION DE REGLAS, ARBOLES DE DECISION, TREPAN', 'INTELIGENCIA ARTIFICIAL'
'HERRAMIENTA PARA LA EXTRACCION AUTOMATICA DE CARACTERISTICAS MORFOLOGICAS DE ESPERMATOZOIDES HUMANOS A PARTIR DE IMAGENES', 'EL ANALISIS DE LIQUIDO SEMINAL ALS O ESPERMOGRAMA ES UN PROCEDIMIENTO DIAGNOSTICO IMPORTANTE PARA LA SALUD YA QUE SE CONSTITUYE EN UN MEDIO DE EVALUACION DE LA FERTILIDAD MASCULINA POR OTRA PARTE, PERMITE ESTIMAR EL FUNCIONAMIENTO DE DIFERENTES ESTRUCTURAS DEL APARATO REPRODUCTIVO, LO QUE RESULTA CONVENIENTE PARA DAR SEGUIMIENTO A INTERVENCIONES MEDICAS COMO LA VASECTOMIA, ASI COMO OTROS CHEQUEOS PRE Y POST OPERATORIOS EN EL ALS SE REALIZAN DOS GRUPOS DE PRUEBAS MACROSCOPICAS Y MICROSCOPICAS LA EVALUACION MORFOLOGICA ES UNA SUBPRUEBA MICROSCOPICA QUE DEMANDA ALTOS COSTES EN TERMINOS DE PERICIA, TIEMPO Y ESFUERZO, ADEMAS DE SER UN PROCEDIMIENTO VULNERABLE A VARIAS FUENTES DE ERROR A PARTIR DE LA VIGENCIA, UTILIDAD E IMPORTANCIA DE LA EVALUACION MORFOLOGICA ASI COMO DE LAS DIFICULTADES ASOCIADAS A ESTE EXAMEN, EL PROPOSITO DE ESTA INVESTIGACION FUE CONSTRUIR UNA HERRAMIENTA QUE APOYE AL EXPERTO EN LA PRUEBA PARA TAL FIN, SE DEFINIO UN MODELO DE PROCESAMIENTO DE IMAGENES DIGITALES MICROSCOPICAS DEL LIQUIDO SEMINAL, QUE IDENTIFICA Y EXTRAE LAS CARACTERISTICAS A LOS ESPERMATOZOIDES PRESENTES EN LA ESCENA LUEGO DEL DESARROLLO Y DEFINICION DEL MODELO, SE REALIZARON PRUEBAS CON UNA MUESTRA DE 89 IMAGENES TOMADAS EN CONDICIONES SIMILARES AL AMBIENTE DE TRABAJO DEL EXPERTO LOS RESULTADOS INDICAN UNA TASA DE ERROR DE SEGMENTACION DE 7,69 CONFUNDIENDO ELEMENTOS DE LAS IMAGENES CON ESPERMATOZOIDES, 6,69 DE OMISIONES DE ESPERMATOZOIDES PRESENTES Y 7,53 DE ERROR EN LA EXTRACCION DE CARACTERISTICAS PRODUCTO DE LA IDENTIFICACION ERRONEA DE LAS ESTRUCTURAS DEL ESPERMATOZOIDE EL DESARROLLO DEL PROYECTO CONSTITUYE UN APORTE QUE DEMUESTRA LA FACTIBILIDAD DE DESARROLLAR ESTE TIPO DE TECNOLOGIAS EN EL PAIS SIN EMBARGO, MOSTRO SER UNA ACTIVIDAD COMPLEJA, QUE DEBE SER LLEVADA A CABO CON PRECAUCION, CONTROLANDO LAS FUENTES DE ERROR REQUIERE DE CREATIVIDAD E INNOVACION ASI COMO DEL DOMINIO DE LOS ASPECTOS TECNICOS RELACIONADOS A LA EFICIENCIA EN LA EJECUCION DE PROGRAMAS EN EL COMPUTADOR', 'MORFOLOGIA ESPERMATICA, INTELIGENCIA ARTIFICIAL, PROCESAMIENTO DIGITAL DE IMAGENES', 'INTELIGENCIA ARTIFICIAL'
'EASY EXTRACTOR UN SISTEMA DE CLASIFICACION DE INFORMACION DE LA WEB UTILIZANDO TECNICAS DE EXTRACCION DE DATOS', 'LA INFORMACION EN LA WEB SE ENCUENTRA EN CAMBIO CONSTANTE Y SUJETA A LA VOLATILIDAD DE LA RED, POR LO QUE UNA PAGINA PUEDE EXISTIR HOY PERO NOMANANA O ENCONTRARLA CON UN CONTENIDO DISTINTO DE ESTA MANERA SURGE LANECESIDAD DE EXTRAER, ALMACENAR Y CLASIFICAR INFORMACION QUE EL USUARIOCONSIDERE IMPORTANTE EN LA WEB EN LA ACTUALIDAD EXISTEN ALGUNASHERRAMIENTAS QUE HAN SOLUCIONADO DICHA PROBLEMATICA, ENTRE LAS CUALESMENCIONAMOS SOLVENT Y GOOGLE BLOC DE NOTAS SIN EMBARGO PUEDEN NOSATISFACER LAS NECESIDADES DE ALGUNOS USUARIOS EL SISTEMA EASY EXTRACTOR, SE CREA COMO UNA HERRAMIENTA DISTINTA QUENO SOLO ENGLOBA FUNCIONALIDADES DE OTRAS APLICACIONES, SINO QUE OFRECE NUEVASPOSIBILIDADES A LOS USUARIOS EN EL PROCESO DE DESARROLLO DE ESTA APLICACION SEREALIZO UNA ADAPTACION DE LA METODOLOGIA EXTREME PROGRAMMING XP DENTRODE LAS CUALIDADES CON LAS QUE CUENTA ESTE SISTEMA SON COMPARTIR INFORMACIONCON OTROS USUARIOS, EXPORTAR LA INFORMACION A FORMATO PDF PARA SUALMACENAJE LOCAL, INTERCAMBIAR COMENTARIOS E IDEAS CON OTROS USUARIOS, DEMARCADO Y ALMACENAJE DE INFORMACION E IMAGENES PARA SU POSTERIORRECUPERACION, ENTRE OTRAS', 'MOZILLA, XUL, WEB, APLICACION, SERVICIOS WEB', 'APLICACIONES EN INTERNET'
'INSTANCIACION DE UNA SOLUCION ERP CODIGO ABIERTO PARA EL SECTOR SALUD AMBULATORIO', 'EN ESTE TRABAJO SE PRESENTA PARA EL SECTOR SALUD AMBULATORIO LA ADAPTACION DE UN SISTEMA ENTERPRISE RESOURCE PLANNING ERP PORQUE SE CREA UNA PLATAFORMA INTEGRADA DE TODA LA ORGANIZACION PARA COORDINAR LOS PROCESOS INTERNOS CLAVE DE LA EMPRESA SE DECIDIO ADAPTAR UN ERP PARA INTEGRAR LOS PROCESOS DEL AMBULATORIO EN UN SOLO SISTEMA DE SOFTWARE Y QUE ESA INFORMACION PUEDA FLUIR A TRAVES DE LA ORGANIZACION MEJORANDO LA COORDINACION, EFICIENCIA Y TOMA DE DECISIONES LOS ERP PUEDEN AYUDAR A CREAR UNA ORGANIZACION MAS UNIFORME EN LA QUE TODO EL MUNDO UTILICE PROCESOS E INFORMACION SIMILARES Y EVALUE SU TRABAJO EN TERMINOS DE ESTANDARES DE DESEMPENO DE TODA LA ORGANIZACION LOS ERP SON MUY DIFICILES DE IMPLEMENTAR CON EXITO REQUIEREN UN CAMBIO ORGANIZACIONAL EXTENSO, EL USO DE TECNOLOGIAS COMPLICADAS PRECISA ALTOS COSTOS INICIALES PARA OBTENER BENEFICIOS A LARGO PLAZO DIFICILES DE CUANTIFICAR PERO UNA VEZ IMPLEMENTADOS, ES MUY DIFICIL CAMBIAR LOS SISTEMAS EMPRESARIALES LAUDON Y LAUDON, 2001LA DIGITALIZACION DE LA HISTORIA CLINICA HC SE HA CONVERTIDO DURANTE LOS ULTIMOS ANOS EN EL OBJETIVO DE LA MAYOR PARTE DE LOS TRABAJOS DE LA INFORMATICA MEDICA LA SUSTITUCION DE LA HC TRADICIONAL EN SOPORTE DE PAPEL, POR UNA HISTORIA CLINICA DIGITAL HCD, RESPONDE A LAS NECESIDADES DE RESOLVER LOS DOS PROBLEMAS CLASICOS DE LOS ARCHIVOS DE HC, COMO LO SON EN PRIMER LUGAR EL CRECIMIENTO CONTINUO DEL VOLUMEN ALMACENADO, QUE LLEGA A CREAR GRAVES PROBLEMAS DE ESPACIO FISICO, Y EL INEVITABLE TRASIEGO DE DOCUMENTOS ORIGINALES, CON RIESGO DE PERDIDA Y DE SU DETERIORO, Y EN SEGUNDO LUGAR PERMITIR LA TRANSFERENCIA RAPIDA DE LA INFORMACION CLINICA EXISTENTE DE UN PACIENTE A PUNTOS LEJANOS, UNIFICANDO ASI DE HECHO LA HC POR ENCIMA DE LOS LIMITES DE LAS INSTITUCIONES ASISTENCIALES ADEMAS ESTE TRABAJO SIRVE PARA PONER A DISPOSICION DE LOS INVESTIGADORES Y DE LOS PLANIFICADORES SANITARIOS ESTA INFORMACION CLINICA, DE FORMA FACILMENTE ACCESIBLE Y TRATABLE', 'HISTORIA CLINICA DIGITAL, ERP ENTERPRISE RESOURCE PLANNING, SOFTWARE LIBRE', 'TECNOLOGIAS EDUCATIVAS'
'DISENO Y DESARROLLO DE UNA NUEVA APLICACION WEB PARA LA ESCUELA DE COMPUTACION DE LA UNIVERSIDAD CENTRAL DE VENEZUELA CON TECNOLOGIA RUBY ON RAILS', 'ESTE TRABAJO DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DE VENEZUELA TIENE COMO OBJETIVO EL DESARROLLO DE UNA APLICACION WEB PARA LA ESCUELA DE COMPUTACION QUE SIRVA COMO MEDIO DE DIFUSION DEINFORMACION INSTITUCIONAL, ACADEMICA Y DE INVESTIGACION, ACCESIBLE Y DE FACIL NAVEGACION, USANDOESTANDARES DE DISENO WEB ACTUALES Y QUE CUENTE CON FUNCIONALIDADES QUE FACILITEN LA ACTUALIZACION DE SUCONTENIDO DEBIDO A LA NATURALEZA DE LA APLICACION, DONDE UNAS FUNCIONALIDADES DEBEN SER DEL DOMINIOPUBLICO Y OTRAS SOLO DISPONIBLES PARA USUARIOS AUTORIZADOS, SE SUGIERIERON DOS SUBSISTEMAS DENOMINADOS SUBSISTEMA PUBLICO Y SUBSISTEMA ADMINISTRATIVO PARA LLEVAR A CABO ESTE OBJETIVO SE APLICARON HERRAMIENTAS Y TECNOLOGIAS DE DESARROLLO WEB TAL COMO RUBYON RAILS, HOJAS DE ESTILO EN CASCADA, LENGUAJE EXTENSIBLE DE MARCADO DE HIPERTEXTO, EN EL CASO DE LASFUNCIONALIDADES SE USO LA METODOLOGIA DE DESARROLLO PROCESO UNIFICADO AGIL ADAPTADA A LAS NECESIDADESDE LA APLICACION, Y PARA EL DISENO SE SIGUIERON AQUELLOS ESTANDARES ACTUALES DE DISENO WEB, LINEAMIENTOSDE USABILIDAD Y PATRONES DE INTERACCION, CONSIDERADOS MAS IMPORTANTES', 'UCV, ESCUELA DE COMPUTACION, APLICACION WEB, TECNOLOGIAS DE DESARROLLO WEB, RUBYON RAILS, MODELADO AGIL METODOLOGIA DE DESARROLLO AUP, ESTANDARES DE DISENO WEB, USABILIDAD, PATRONESDE INTERACCION', 'APLICACIONES EN INTERNET'
